ID,TransmissionRatio,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes
9824032,0.21739302792898743,1,20,1.3,0.5,6,26,0.0001,1.0,0.28,5.0,0.45,36,3.0,0.01873706868634648,3350.0,0.2769957901480062,6
6005968,0.1099505774677858,0,20,1.3,0.5,6,35,0.0001,0.007457768651826576,0.48,5.0,0.23,32,2.0,0.018735565743700982,3350.0,0.21934946677854883,6
9586458,0.2517472286473981,1,20,1.3,0.5,6,31,0.0001,0.005058886060483634,0.83,5.0,0.6,32,3.5,0.018735565743700982,3260.0,0.20985010117638075,6
